object_identifier	identifier	file_format	file_function	size	HEX(f.digest)	revision_number	last_fixity_check
amjewess:taj1895.0001.001:00000002	14f82330-69c7-c476-676c-67e66b43e1c7/descriptor/14f82330-69c7-c476-676c-67e66b43e1c7.types:fileset.mets2.xml	application/xml	function:descriptor	8824	E768EF2C3E9B6A4078B62F7646BC2ECC9A7FB6B5A02BD9F3465C3F41E4FA3AED	1	2025-08-25 14:54:39.640822
amjewess:taj1895.0001.001:00000002	14f82330-69c7-c476-676c-67e66b43e1c7/metadata/00000002.function:source.format:image.function:event.premis.xml	application/xml	function:event	1258	3EE04FFA5EB68F80DABEAE760FC18039B908B21E41BC1B0799C17E27C21B56C4	1	2025-08-25 14:54:39.640939
amjewess:taj1895.0001.001:00000002	14f82330-69c7-c476-676c-67e66b43e1c7/metadata/00000002.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	6223	2C32ADE6FF48F8CCBB0C0709AE34BAB336BCC5555E8BE0523DA701E23E1820B5	1	2025-08-25 14:54:39.640906
amjewess:taj1895.0001.001:00000003	87f531dd-5759-5869-0380-54deed02f3d1/data/00000003.function:source.format:image.tif	image/tiff	function:source	5761	2DBB33D8DF9A76D6527814EEA7550090EAA05E88FEDF53CF3208A866167024B9	1	2025-08-25 14:54:39.641532
amjewess:taj1895.0001.001:00000003	87f531dd-5759-5869-0380-54deed02f3d1/descriptor/87f531dd-5759-5869-0380-54deed02f3d1.types:fileset.mets2.xml	application/xml	function:descriptor	1923	62A04C63322D37D0EF1C283A58C962D728360F7AC5419FF9C1F5E94A7B1C5E27	1	2025-08-25 14:54:39.641484
amjewess:taj1895.0001.001:00000003	87f531dd-5759-5869-0380-54deed02f3d1/metadata/00000003.function:source.format:image.function:event.premis.xml	application/xml	function:event	1128	B0CBCD0A595E7212BAE432F15A9E3460F38D9ABD2504F49D15E090BC5FE9077A	1	2025-08-25 14:54:39.641596
amjewess:taj1895.0001.001:00000003	87f531dd-5759-5869-0380-54deed02f3d1/metadata/00000003.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	4591	DE13A5E20FCE276E74A4FD99B75D94293DEAD26A9F2806939A26EC49242D3D7C	1	2025-08-25 14:54:39.641565
amjewess:taj1895.0001.001:00000004	6f8522e0-8fde-0bef-140c-268de8b54e63/data/00000004.function:source.format:image.tif	image/tiff	function:source	4077	D83A9B7743BE2E9985B3A5D3D030B473B2BFD5072257EC2BF75DC1FC8E8BD43C	1	2025-08-25 14:54:39.642242
amjewess:taj1895.0001.001:00000004	6f8522e0-8fde-0bef-140c-268de8b54e63/descriptor/6f8522e0-8fde-0bef-140c-268de8b54e63.types:fileset.mets2.xml	application/xml	function:descriptor	4341	80409FF4CC2144D9CE0B8826F12BFD51AFB7DDB23D45E66E7B2256D1100BC49E	1	2025-08-25 14:54:39.642197
amjewess:taj1895.0001.001:00000004	6f8522e0-8fde-0bef-140c-268de8b54e63/metadata/00000004.function:source.format:image.function:event.premis.xml	application/xml	function:event	6565	A85906645A16692821A3F0D7F7EF5CE1337413B6FFC8B50DD04282385F89CCE9	1	2025-08-25 14:54:39.642312
amjewess:taj1895.0001.001:00000004	6f8522e0-8fde-0bef-140c-268de8b54e63/metadata/00000004.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	9604	965E94E032D9580BC40B361ADF2C137A5C5B2237C5BEB4AB51FD8E37A750B9A0	1	2025-08-25 14:54:39.642275
amjewess:taj1895.0001.001:00000005	b3f1d284-d595-d375-d3de-0862ad9271e9/data/00000005.function:source.format:image.tif	image/tiff	function:source	7918	DEFD881F850CA7FD9148998B492907A21F48677E6F24F75D9FE1171F2684927D	1	2025-08-25 14:54:39.642852
amjewess:taj1895.0001.001:00000005	b3f1d284-d595-d375-d3de-0862ad9271e9/descriptor/b3f1d284-d595-d375-d3de-0862ad9271e9.types:fileset.mets2.xml	application/xml	function:descriptor	3830	A33EC10FC484D2C4653E468CDB999415DC9A869F56CAEAD136E04118BE377402	1	2025-08-25 14:54:39.642807
amjewess:taj1895.0001.001:00000005	b3f1d284-d595-d375-d3de-0862ad9271e9/metadata/00000005.function:source.format:image.function:event.premis.xml	application/xml	function:event	9637	2E113173166A62E3B019731E3853CD4DC4BA3BB6D9E6147D4E35B960E9C855C5	1	2025-08-25 14:54:39.642918
amjewess:taj1895.0001.001:00000005	b3f1d284-d595-d375-d3de-0862ad9271e9/metadata/00000005.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	2692	D53F7B67A25D00DBAD7F4243F91F0CAC4E1189370CE65EDC560C8C5D78ACBA7D	1	2025-08-25 14:54:39.642887
amjewess:taj1895.0001.001:00000006	638fdb03-1663-dabf-6bac-38fc77b3177b/data/00000006.function:source.format:image.tif	image/tiff	function:source	5879	1133954C6B4B9378A5C8D4583719B577A92CCE97EBF6E742E4F40E19EFD39451	1	2025-08-25 14:54:39.643445
amjewess:taj1895.0001.001:00000006	638fdb03-1663-dabf-6bac-38fc77b3177b/descriptor/638fdb03-1663-dabf-6bac-38fc77b3177b.types:fileset.mets2.xml	application/xml	function:descriptor	4187	DFC609FC1C1B67028985F522C59AFBE480FC31D9FC031FCD85697CE9D9A285C5	1	2025-08-25 14:54:39.643398
amjewess:taj1895.0001.001:00000006	638fdb03-1663-dabf-6bac-38fc77b3177b/metadata/00000006.function:source.format:image.function:event.premis.xml	application/xml	function:event	8189	EC0F32B4AADAE2B17D369B7579949F3A0559E750A3EC49621421F3D900EAE88C	1	2025-08-25 14:54:39.643512
amjewess:taj1895.0001.001:00000006	638fdb03-1663-dabf-6bac-38fc77b3177b/metadata/00000006.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	1977	D64E24A88C297A622B2D82A95790F4FC20A58F9E0ED13588B7BFB5C44E00A3F9	1	2025-08-25 14:54:39.643480
amjewess:taj1895.0001.001:00000007	0c177e4c-9afe-3f4e-4a94-6bec5fe955d4/data/00000007.function:source.format:image.tif	image/tiff	function:source	704	5837BD63EB6EBE35918A9DEF95D04CA7831654DD491B2AAE69E1C9814D92B709	1	2025-08-25 14:54:39.644042
amjewess:taj1895.0001.001:00000007	0c177e4c-9afe-3f4e-4a94-6bec5fe955d4/descriptor/0c177e4c-9afe-3f4e-4a94-6bec5fe955d4.types:fileset.mets2.xml	application/xml	function:descriptor	5258	23671C00348DA27A558F2CE4D24D568023F70D90BDBFD7F492F8EDDBA739ED67	1	2025-08-25 14:54:39.643997
amjewess:taj1895.0001.001:00000007	0c177e4c-9afe-3f4e-4a94-6bec5fe955d4/metadata/00000007.function:source.format:image.function:event.premis.xml	application/xml	function:event	1254	F2EAF8E92E1583E6BAD53DB1C42333819280A237F9CEE7B5ABAE941512926E79	1	2025-08-25 14:54:39.644105
amjewess:taj1895.0001.001:00000007	0c177e4c-9afe-3f4e-4a94-6bec5fe955d4/metadata/00000007.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	6545	DF5C30761E07F2C988765085967AA5530F08B90A19C4159F1265C3CB6D71F76A	1	2025-08-25 14:54:39.644076
amjewess:taj1895.0001.001:00000008	ae12060e-e1cd-1f44-19bb-fe6da9cd37d0/data/00000008.function:source.format:image.tif	image/tiff	function:source	2866	4B3006660CB838F89264D5B0C3DFEA311A0050CB01515D99DC003060EE1B2870	1	2025-08-25 14:54:39.644625
amjewess:taj1895.0001.001:00000008	ae12060e-e1cd-1f44-19bb-fe6da9cd37d0/descriptor/ae12060e-e1cd-1f44-19bb-fe6da9cd37d0.types:fileset.mets2.xml	application/xml	function:descriptor	7494	355F39DAECF5F2953C1053AA94903B206DBAEBE54C6955BEE34D99128AB60A02	1	2025-08-25 14:54:39.644580
amjewess:taj1895.0001.001:00000008	ae12060e-e1cd-1f44-19bb-fe6da9cd37d0/metadata/00000008.function:source.format:image.function:event.premis.xml	application/xml	function:event	1109	0EF482B92341D8E3F7C319A2F04F1B76EEA3BA5EBC80D315546BA2F55EF89301	1	2025-08-25 14:54:39.644743
amjewess:taj1895.0001.001:00000008	ae12060e-e1cd-1f44-19bb-fe6da9cd37d0/metadata/00000008.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	3769	1AE30ABE8F42A5ACBD278E525DFE9DD244A6D8A6FFB54461F77C6D3A85BCD8D3	1	2025-08-25 14:54:39.644658
amjewess:taj1895.0001.001:00000009	7268d851-f665-7e27-b167-6aa36d23e64d/data/00000009.function:source.format:image.tif	image/tiff	function:source	8048	5727704647154B8AE7B6BE84379BD28D6DE28C9F04FC51CF86845C64D539FA7E	1	2025-08-25 14:54:39.645270
amjewess:taj1895.0001.001:00000009	7268d851-f665-7e27-b167-6aa36d23e64d/descriptor/7268d851-f665-7e27-b167-6aa36d23e64d.types:fileset.mets2.xml	application/xml	function:descriptor	3769	605DB0780F112F1DC66381AF55D0877D8CAD7C2D5428B9CF9C4CA235A20C937A	1	2025-08-25 14:54:39.645226
amjewess:taj1895.0001.001:00000009	7268d851-f665-7e27-b167-6aa36d23e64d/metadata/00000009.function:source.format:image.function:event.premis.xml	application/xml	function:event	7983	9F0BAA83976E2C139E2CF526FF203E875A81A1C95CF1C85514842DAFB4689325	1	2025-08-25 14:54:39.645328
amjewess:taj1895.0001.001:00000009	7268d851-f665-7e27-b167-6aa36d23e64d/metadata/00000009.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	7142	FD7F766A573D5247233D3ECF75D7D87B02A9AA856BF7EE2F1796D39F792436BE	1	2025-08-25 14:54:39.645301
amjewess:taj1895.0001.001:00000010	e0c0e780-a072-618e-20e9-d411ef32713e/data/00000010.function:source.format:image.tif	image/tiff	function:source	5232	EA296EAEC454F41B673AB86CDCC428822AC2389743D59AD868E37A1CB9DAA06F	1	2025-08-25 14:54:39.645787
amjewess:taj1895.0001.001:00000010	e0c0e780-a072-618e-20e9-d411ef32713e/descriptor/e0c0e780-a072-618e-20e9-d411ef32713e.types:fileset.mets2.xml	application/xml	function:descriptor	2665	6A5EED498CB30BBBA93E421B890ACA65A029E3E27DBC15923EF5293F68CEE234	1	2025-08-25 14:54:39.645749
amjewess:taj1895.0001.001:00000010	e0c0e780-a072-618e-20e9-d411ef32713e/metadata/00000010.function:source.format:image.function:event.premis.xml	application/xml	function:event	8460	9DB4D27CFF4535F2DFA92A474303DDE0E84FC148891E8CA6EECA8DA9FB452FF3	1	2025-08-25 14:54:39.645842
amjewess:taj1895.0001.001:00000010	e0c0e780-a072-618e-20e9-d411ef32713e/metadata/00000010.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	9160	6A6B4A0F12C44537018A3911E9E99E9DE6351E4712E815FBAFCE745CFD002739	1	2025-08-25 14:54:39.645817
amjewess:taj1895.0001.001:00000011	6e58b647-6d91-3d5f-94f5-359616bd8fef/data/00000011.function:source.format:image.tif	image/tiff	function:source	2930	2D500C9E37C00EACCA47E0152327CA4317879091365D3D990B8F6A8D9B09E342	1	2025-08-25 14:54:39.646301
amjewess:taj1895.0001.001:00000011	6e58b647-6d91-3d5f-94f5-359616bd8fef/descriptor/6e58b647-6d91-3d5f-94f5-359616bd8fef.types:fileset.mets2.xml	application/xml	function:descriptor	4226	A346953F89F12A800EDB197046F98C88382E9328794A6B46A9D57DA4A092B61E	1	2025-08-25 14:54:39.646262
amjewess:taj1895.0001.001:00000011	6e58b647-6d91-3d5f-94f5-359616bd8fef/metadata/00000011.function:source.format:image.function:event.premis.xml	application/xml	function:event	3155	A6AEFE20374961DD0EFA82CC4901FB27C6E57A503C7220B6A1D5AAF34008C145	1	2025-08-25 14:54:39.646357
amjewess:taj1895.0001.001:00000011	6e58b647-6d91-3d5f-94f5-359616bd8fef/metadata/00000011.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	1105	D8433474D036BAA86D93A66826BED0369F756F4C97678AD19E68427363508BB3	1	2025-08-25 14:54:39.646331
amjewess:taj1895.0001.001:00000012	a3924e03-b4cc-cbd4-135f-b6399d3be60b/data/00000012.function:source.format:image.tif	image/tiff	function:source	4642	FB63243751360B2E9046E813C725CAD50060ECFCFB5C0C86176CBE242E1BC39F	1	2025-08-25 14:54:39.646821
amjewess:taj1895.0001.001:00000012	a3924e03-b4cc-cbd4-135f-b6399d3be60b/descriptor/a3924e03-b4cc-cbd4-135f-b6399d3be60b.types:fileset.mets2.xml	application/xml	function:descriptor	6128	EC9DA85C1F2B3AB930736D1C0014E33C5B308457B7765115A865CD409D0F8688	1	2025-08-25 14:54:39.646783
amjewess:taj1895.0001.001:00000012	a3924e03-b4cc-cbd4-135f-b6399d3be60b/metadata/00000012.function:source.format:image.function:event.premis.xml	application/xml	function:event	1428	CB0B29A90329907400522FAB5549676D9BA0A77A19358229FAA1D71572A5AA69	1	2025-08-25 14:54:39.646875
amjewess:taj1895.0001.001:00000012	a3924e03-b4cc-cbd4-135f-b6399d3be60b/metadata/00000012.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	3750	992B0FC2252ABA0D184A483884E74326A7D9C5E56E8CC8CEB842E0F39052769F	1	2025-08-25 14:54:39.646849
amjewess:taj1895.0001.001:00000013	e428d3d4-3e85-57c3-fa73-1e7f254d577e/data/00000013.function:source.format:image.tif	image/tiff	function:source	7654	92278BE433FA0AEE8E7D74265D0840F7BC797AB1AA52B2F5BED99CF83C153F3A	1	2025-08-25 14:54:39.647370
amjewess:taj1895.0001.001:00000013	e428d3d4-3e85-57c3-fa73-1e7f254d577e/descriptor/e428d3d4-3e85-57c3-fa73-1e7f254d577e.types:fileset.mets2.xml	application/xml	function:descriptor	2698	41BC2F18CBDA13F6838AEB79CF3A7E7A80FBDB37930DC8138E2425EAFECEC256	1	2025-08-25 14:54:39.647332
amjewess:taj1895.0001.001:00000013	e428d3d4-3e85-57c3-fa73-1e7f254d577e/metadata/00000013.function:source.format:image.function:event.premis.xml	application/xml	function:event	2336	AAE8B52B9F3066A2680AFEA8A0ACCC62A9E07E74ED7BFF8D5E5C7D6742ED7F3C	1	2025-08-25 14:54:39.647426
amjewess:taj1895.0001.001:00000013	e428d3d4-3e85-57c3-fa73-1e7f254d577e/metadata/00000013.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	4558	96229C891BEB409FAD1614D436AA67670B25B829449E838D474B2AD6D2D04538	1	2025-08-25 14:54:39.647400
amjewess:taj1895.0001.001:00000014	c095fe39-a33a-2cc9-7165-6564e6c77a55/data/00000014.function:source.format:image.tif	image/tiff	function:source	7583	C892C47C56E8C5FD56F217137A82250360B3693A045FBDC2D980C32BE01CD10F	1	2025-08-25 14:54:39.647873
amjewess:taj1895.0001.001:00000014	c095fe39-a33a-2cc9-7165-6564e6c77a55/descriptor/c095fe39-a33a-2cc9-7165-6564e6c77a55.types:fileset.mets2.xml	application/xml	function:descriptor	989	B243769E2CBA9EF6645522B67BA787E1367B5C602549D88255FB5F08A8F6D02D	1	2025-08-25 14:54:39.647834
amjewess:taj1895.0001.001:00000014	c095fe39-a33a-2cc9-7165-6564e6c77a55/metadata/00000014.function:source.format:image.function:event.premis.xml	application/xml	function:event	1255	88BB490F6E349D228008BE352066DCECC01CF968A25722C3A452DDECB6DEE427	1	2025-08-25 14:54:39.647927
amjewess:taj1895.0001.001:00000014	c095fe39-a33a-2cc9-7165-6564e6c77a55/metadata/00000014.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	9696	26EA756FAA12A9CDD5F3A6C4AB6D4195E61D170949CAA6384D44B418264A4D33	1	2025-08-25 14:54:39.647901
amjewess:taj1895.0001.001:00000015	3e25d1aa-cbb6-ffae-515c-4b88634b4103/data/00000015.function:source.format:image.tif	image/tiff	function:source	3278	81E7312E2F491332CAAD80EB619D5D9F90F5516DDF928A598573E0176F68F9C1	1	2025-08-25 14:54:39.648375
amjewess:taj1895.0001.001:00000015	3e25d1aa-cbb6-ffae-515c-4b88634b4103/descriptor/3e25d1aa-cbb6-ffae-515c-4b88634b4103.types:fileset.mets2.xml	application/xml	function:descriptor	4045	456A191C5590FE3DF4FCFA5C3D3E659649446CFDF832CB1B1AA6600F65F22A36	1	2025-08-25 14:54:39.648336
amjewess:taj1895.0001.001:00000015	3e25d1aa-cbb6-ffae-515c-4b88634b4103/metadata/00000015.function:source.format:image.function:event.premis.xml	application/xml	function:event	1909	7C4BAF6717FCDE8A93F43003FF35B909954B6A7B38CCFF5B4E5A57B1392AAEDD	1	2025-08-25 14:54:39.648432
amjewess:taj1895.0001.001:00000015	3e25d1aa-cbb6-ffae-515c-4b88634b4103/metadata/00000015.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	4090	ED8EC6D07AF088154553EF288C05F3AE850A42679BCFD3E8DBD30D40C58FC570	1	2025-08-25 14:54:39.648406
amjewess:taj1895.0001.001:00000016	15607dfc-cd64-0f94-3a11-71ad8bd26080/data/00000016.function:source.format:image.tif	image/tiff	function:source	6858	B1897C360EBF04D63F8F44B08DE24F4445CBEA15D88D2A2A1FDA958AC5B8A7DB	1	2025-08-25 14:54:39.648868
amjewess:taj1895.0001.001:00000016	15607dfc-cd64-0f94-3a11-71ad8bd26080/descriptor/15607dfc-cd64-0f94-3a11-71ad8bd26080.types:fileset.mets2.xml	application/xml	function:descriptor	3723	E2A21341864CC902082F204B2194972AA8CF5A78371464640919F02615660E31	1	2025-08-25 14:54:39.648830
amjewess:taj1895.0001.001:00000016	15607dfc-cd64-0f94-3a11-71ad8bd26080/metadata/00000016.function:source.format:image.function:event.premis.xml	application/xml	function:event	7771	F653F8362169F96B924EEEFE32F0895EA51F12B55DDFA05F70E35789F57190D1	1	2025-08-25 14:54:39.648921
amjewess:taj1895.0001.001:00000016	15607dfc-cd64-0f94-3a11-71ad8bd26080/metadata/00000016.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	7480	5DDDA526FFC19F776FAD6E3D6299BD5D2A5B847317988A3832A8FB73CFEDAACC	1	2025-08-25 14:54:39.648896
amjewess:taj1895.0001.001:00000017	83279323-9e34-2fa3-acc0-54279bbedf6b/data/00000017.function:source.format:image.tif	image/tiff	function:source	719	7E6877CCE1CF103A2F096972C4F03667535FD42087CE528AA9CD58C7A1632C6D	1	2025-08-25 14:54:39.649417
amjewess:taj1895.0001.001:00000017	83279323-9e34-2fa3-acc0-54279bbedf6b/descriptor/83279323-9e34-2fa3-acc0-54279bbedf6b.types:fileset.mets2.xml	application/xml	function:descriptor	7640	57C38DC7E2A4633A916CFECA87E9312F3040ECFF5BBF4DBAB81F8D7443A15914	1	2025-08-25 14:54:39.649378
amjewess:taj1895.0001.001:00000017	83279323-9e34-2fa3-acc0-54279bbedf6b/metadata/00000017.function:source.format:image.function:event.premis.xml	application/xml	function:event	3651	FFE369FC0DCF652C7422C2B433EF3CA0E5B2992F027021938964817828BBE14E	1	2025-08-25 14:54:39.649476
amjewess:taj1895.0001.001:00000017	83279323-9e34-2fa3-acc0-54279bbedf6b/metadata/00000017.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	2679	05628240AC2E5B86E8594EBE643E40DB5A562803F1A69A443F95B13EE98CE2AE	1	2025-08-25 14:54:39.649447
amjewess:taj1895.0001.001:00000018	b79fa2bd-0f54-2cac-8ad1-8ce8441b9b7e/data/00000018.function:source.format:image.tif	image/tiff	function:source	3407	E5F6D7F82A4826ECD0D3F6CCC4C5980FA416C48B8CDE07B030D9CE75FB4B4C8C	1	2025-08-25 14:54:39.649917
amjewess:taj1895.0001.001:00000018	b79fa2bd-0f54-2cac-8ad1-8ce8441b9b7e/descriptor/b79fa2bd-0f54-2cac-8ad1-8ce8441b9b7e.types:fileset.mets2.xml	application/xml	function:descriptor	3951	553DD5E9A6C7C9B28FA91B986E50B700E48939C0918184B3B5B41C6220BDB4D1	1	2025-08-25 14:54:39.649879
amjewess:taj1895.0001.001:00000018	b79fa2bd-0f54-2cac-8ad1-8ce8441b9b7e/metadata/00000018.function:source.format:image.function:event.premis.xml	application/xml	function:event	9859	B81D029090DF8A23EF5CF10A8C82FA073447486B63BA65CBD634C4E1C446C745	1	2025-08-25 14:54:39.649970
amjewess:taj1895.0001.001:00000018	b79fa2bd-0f54-2cac-8ad1-8ce8441b9b7e/metadata/00000018.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	7807	5B47AE41686E96DEE85662A0961063EFCF757EBF1CAD3639E667F494C4570FFF	1	2025-08-25 14:54:39.649945
amjewess:taj1895.0001.001:00000019	811f8108-4fdd-21c6-5305-a92221548697/data/00000019.function:source.format:image.tif	image/tiff	function:source	6251	8D35A945584D778F877334C402D3892CCB746FEF29B044434024E67751299900	1	2025-08-25 14:54:39.650425
amjewess:taj1895.0001.001:00000019	811f8108-4fdd-21c6-5305-a92221548697/descriptor/811f8108-4fdd-21c6-5305-a92221548697.types:fileset.mets2.xml	application/xml	function:descriptor	7199	E2C10DE854D73988BE818FBA8C20CC22027A9BCC3FF62508103E0258EAB93212	1	2025-08-25 14:54:39.650388
amjewess:taj1895.0001.001:00000019	811f8108-4fdd-21c6-5305-a92221548697/metadata/00000019.function:source.format:image.function:event.premis.xml	application/xml	function:event	1443	FABB139947A075F110E325ADF89251703E501304AF252AC80572879C8CCE47BF	1	2025-08-25 14:54:39.650485
amjewess:taj1895.0001.001:00000019	811f8108-4fdd-21c6-5305-a92221548697/metadata/00000019.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	8199	34971A96A813989471E13EFF5206CF02EDC4040C3F2D7496C61FF5E4275F2854	1	2025-08-25 14:54:39.650457
amjewess:taj1895.0001.001:00000020	ae38f509-8b6d-9665-d9e9-a30b94a313a1/data/00000020.function:source.format:image.tif	image/tiff	function:source	8847	7EB2EEC7C881F1FB8EF16C32B9E9887F9CEB49DB392AF0561A0C5EDFCA5FAE65	1	2025-08-25 14:54:39.650938
amjewess:taj1895.0001.001:00000020	ae38f509-8b6d-9665-d9e9-a30b94a313a1/descriptor/ae38f509-8b6d-9665-d9e9-a30b94a313a1.types:fileset.mets2.xml	application/xml	function:descriptor	3324	AD31C335DED876BE031AA701C1DE45936078462BB340B9A17477240CB66A434C	1	2025-08-25 14:54:39.650900
amjewess:taj1895.0001.001:00000020	ae38f509-8b6d-9665-d9e9-a30b94a313a1/metadata/00000020.function:source.format:image.function:event.premis.xml	application/xml	function:event	1676	DB1D8FFA3454232887D6E6959908CE7C3C39F9CC248CD7ECD7689F2579162490	1	2025-08-25 14:54:39.650995
amjewess:taj1895.0001.001:00000020	ae38f509-8b6d-9665-d9e9-a30b94a313a1/metadata/00000020.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	8020	C53EED1656410382041E816875AEAA65898F135C95E4C70E4BC7ED4E07279B15	1	2025-08-25 14:54:39.650967
amjewess:taj1895.0001.001:00000021	bb041ab6-5e0c-2e54-1f3d-0eddec987686/data/00000021.function:source.format:image.tif	image/tiff	function:source	3919	43E6110CC9A8374398D9CC1F09E531CE5E574CA24EBE38EC79407C42CEBC4EB7	1	2025-08-25 14:54:39.651452
amjewess:taj1895.0001.001:00000021	bb041ab6-5e0c-2e54-1f3d-0eddec987686/descriptor/bb041ab6-5e0c-2e54-1f3d-0eddec987686.types:fileset.mets2.xml	application/xml	function:descriptor	8429	707B240A23F2035CE55BBFA1CB2698FBF58BC98878FC3DB1038A08A41EE4A0C6	1	2025-08-25 14:54:39.651418
amjewess:taj1895.0001.001:00000021	bb041ab6-5e0c-2e54-1f3d-0eddec987686/metadata/00000021.function:source.format:image.function:event.premis.xml	application/xml	function:event	2242	72FB1C722214BD940DCC5EE4CAB5911CFCE36F367686B2D76C17FE2035B1AE9F	1	2025-08-25 14:54:39.651504
amjewess:taj1895.0001.001:00000021	bb041ab6-5e0c-2e54-1f3d-0eddec987686/metadata/00000021.function:source.format:image.function:technical.mix.xml	application/xml	function:technical	5466	A17EC2EFAAC9ED3758A32FE2EFC634C9B74DECF9A8DCC0C1DB090AEA63932927	1	2025-08-25 14:54:39.651479
amjewess:taj1895.0001.001:00000022	be03bb55-53d5-b1a2-0679-26f6f1a96de5/data/00000022.function:source.format:image.tif	image/tiff	function:source	9730	FCD7ECD5279AC0CFE4890A7B8742EC5C45D9779780CA861B997F30690E18577E	1	2025-08-25 14:54:39.651910
amjewess:taj1895.0001.001:00000022	be03bb55-53d5-b1a2-0679-26f6f1a96de5/descriptor/be03bb55-53d5-b1a2-0679-26f6f1a96de5.types:fileset.mets2.xml	application/xml	function:descriptor	2790	FDAFC67E460A932F8E1EEE19CA5983B220F19943CF1BCDF8445EFDB90123EA3A	1	2025-08-25 14:54:39.651877
